State,state fips code,county fips code,debt,latitude,longitude,City,Institution Type,Official Program Pass/Zone/Fail,Annual Earnings,Field Study Grouped,,
AL,1,37,879,"32,318231","-86,902298",ALEXANDER CITY,PUBLIC 2 TO 3 YEARS,PASS,35061,Health field,,15800
AL,1,83,243,"32,318231","-86,902298",TANNER,PUBLIC 2 TO 3 YEARS,PASS,31071,Health field,,114781
AL,1,15,50,"32,318231","-86,902298",GADSDEN,PUBLIC 2 TO 3 YEARS,PASS,12114,Others,,
AL,1,15,50,"32,318231","-86,902298",GADSDEN,PUBLIC 2 TO 3 YEARS,PASS,12114,Others,,
AL,1,15,50,"32,318231","-86,902298",GADSDEN,PUBLIC 2 TO 3 YEARS,PASS,12114,Others,,
AL,1,15,50,"32,318231","-86,902298",GADSDEN,PUBLIC 2 TO 3 YEARS,PASS,12114,Others,,
AL,1,45,50,"32,318231","-86,902298",DOTHAN,PUBLIC 2 TO 3 YEARS,PASS,9496,Others,,
AL,1,45,50,"32,318231","-86,902298",DOTHAN,PUBLIC 2 TO 3 YEARS,PASS,9496,Others,,
AL,1,45,50,"32,318231","-86,902298",DOTHAN,PUBLIC 2 TO 3 YEARS,PASS,9496,Others,,
AL,1,35,50,"32,318231","-86,902298",BREWTON,PUBLIC 2 TO 3 YEARS,PASS,31817,Sciences,,
AL,1,97,50,"32,318231","-86,902298",MOBILE,PUBLIC 2 TO 3 YEARS,PASS,26876,Others,,
AL,1,97,50,"32,318231","-86,902298",MOBILE,PUBLIC 2 TO 3 YEARS,PASS,26876,Others,,
AL,1,35,50,"32,318231","-86,902298",MONROEVILLE,PUBLIC 2 TO 3 YEARS,PASS,9731,Others,,
AL,1,35,50,"32,318231","-86,902298",MONROEVILLE,PUBLIC 2 TO 3 YEARS,PASS,9731,Others,,
AL,1,35,50,"32,318231","-86,902298",MONROEVILLE,PUBLIC 2 TO 3 YEARS,PASS,9731,Others,,
AL,1,17,50,"32,318231","-86,902298",WADLEY,PUBLIC 2 TO 3 YEARS,PASS,31439,Health field,,
AL,1,97,2071,"32,318231","-86,902298",MOBILE,PUBLIC 2 TO 3 YEARS,PASS,26876,Others,,
AK,2,110,1757,"63,588753","-154,493062",JUNEAU,PUBLIC 4 YEARS OR MORE,PASS,61937,"Literature, Education & Human Sciences",,
AZ,4,13,1853,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,1906,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,2299,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,2005,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,3895,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,2530,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,3675,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,2741,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,3604,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,2476,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,2305,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,2042,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,2528,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,2823,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,1925,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,1997,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,2725,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,2262,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,1801,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,1947,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,2297,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,3656,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,1832,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,2352,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,2360,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,2906,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,2440,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,2343,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,2566,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,2418,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,50,"34,048928","-111,093731",GLENDALE,PUBLIC 2 TO 3 YEARS,PASS,38721,Sciences,,
AZ,4,13,293,"34,048928","-111,093731",GLENDALE,PUBLIC 2 TO 3 YEARS,PASS,38721,Sciences,,
AZ,4,13,50,"34,048928","-111,093731",MESA,PUBLIC 2 TO 3 YEARS,PASS,40587,Sciences,,
AZ,4,13,50,"34,048928","-111,093731",MESA,PUBLIC 2 TO 3 YEARS,PASS,40587,Sciences,,
AZ,4,13,320,"34,048928","-111,093731",MESA,PUBLIC 2 TO 3 YEARS,PASS,40587,Sciences,,
AZ,4,13,552,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,50,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,13,50,"34,048928","-111,093731",PHOENIX,PROPRIETARY 4 YEARS OR MORE,PASS,53494,"Literature, Education & Human Sciences",,
AZ,4,25,50,"34,048928","-111,093731",PRESCOTT,PUBLIC 2 TO 3 YEARS,PASS,21854,Others,,
AZ,4,13,1933,"34,048928","-111,093731",TEMPE,PUBLIC 4 YEARS OR MORE,PASS,53098,"Finance, Economy and Business",,
AZ,4,5,2414,"34,048928","-111,093731",FLAGSTAFF,PUBLIC 4 YEARS OR MORE,PASS,61193,Management & Administration,,
CA,6,111,3135,"36,778261","-119,417932",VENTURA,PROPRIETARY 4 YEARS OR MORE,FAIL,21902,Others,,
CA,6,111,2059,"36,778261","-119,417932",VENTURA,PROPRIETARY 4 YEARS OR MORE,FAIL,21902,Others,,
CA,6,111,3302,"36,778261","-119,417932",VENTURA,PROPRIETARY 4 YEARS OR MORE,FAIL,21902,Others,,
CA,6,111,2268,"36,778261","-119,417932",VENTURA,PROPRIETARY 4 YEARS OR MORE,FAIL,21902,Others,,
CA,6,37,1562,"36,778261","-119,417932",NORTHRIDGE,PUBLIC 4 YEARS OR MORE,PASS,73508,"Finance, Economy and Business",,
CA,6,75,1058,"36,778261","-119,417932",SAN FRANCISCO,PUBLIC 4 YEARS OR MORE,PASS,44172,Others,,
CA,6,75,639,"36,778261","-119,417932",SAN FRANCISCO,PUBLIC 4 YEARS OR MORE,PASS,44172,Others,,
CA,6,37,50,"36,778261","-119,417932",NORWALK,PUBLIC 2 TO 3 YEARS,PASS,11549,Others,,
CA,6,37,50,"36,778261","-119,417932",NORWALK,PUBLIC 2 TO 3 YEARS,PASS,11549,Others,,
CA,6,37,50,"36,778261","-119,417932",NORWALK,PUBLIC 2 TO 3 YEARS,PASS,11549,Others,,
CA,6,37,50,"36,778261","-119,417932",GLENDORA,PUBLIC 2 TO 3 YEARS,PASS,11990,Others,,
CA,6,19,166,"36,778261","-119,417932",COALINGA,PUBLIC 2 TO 3 YEARS,PASS,58091,Health field,,
CA,6,85,3051,"36,778261","-119,417932",SAN JOSE,PROPRIETARY 4 YEARS OR MORE,PASS,34768,Sciences,,
CA,6,23,50,"36,778261","-119,417932",EUREKA,PUBLIC 2 TO 3 YEARS,PASS,47372,Sciences,,
CA,6,23,50,"36,778261","-119,417932",EUREKA,PUBLIC 2 TO 3 YEARS,PASS,47372,Sciences,,
CA,6,93,906,"36,778261","-119,417932",WEED,PUBLIC 2 TO 3 YEARS,PASS,56677,Health field,,
CA,6,37,50,"36,778261","-119,417932",TORRANCE,PUBLIC 2 TO 3 YEARS,PASS,9365,Others,,
CA,6,37,50,"36,778261","-119,417932",TORRANCE,PUBLIC 2 TO 3 YEARS,PASS,9365,Others,,
CA,6,59,50,"36,778261","-119,417932",HUNTINGTON BEACH,PUBLIC 2 TO 3 YEARS,PASS,13754,Others,,
CA,6,59,471,"36,778261","-119,417932",HUNTINGTON BEACH,PUBLIC 2 TO 3 YEARS,PASS,13754,Others,,
CA,6,73,50,"36,778261","-119,417932",EL CAJON,PUBLIC 2 TO 3 YEARS,PASS,28614,"Finance, Economy and Business",,
