Institution Code,Institution Name,City,State,Country,Institution Type,Field of study,Credential Level,Official Program Pass/Zone/Fail,Debt-to-Earnings Annual Rate,Debt (numerator),Annual Earnings (denominator),Debt-to-Earnings Annual Rate Pass/Fail/Zone,Debt-to-Earnings Discretionary Income Rate,Debt Discretionary Income Rate (numerator),Earnings Discretionary Income Rate (denominator),Debt-to-Earnings Discretionary Income Rate Pass/Fail/Zone,Mean  Annual Earnings From SSA,Median Annual Earnings from SSA,Field Study Grouped
1007,CENTRAL ALABAMA COMMUNITY COLLEGE,ALEXANDER CITY,AL,United States,PUBLIC 2 TO 3 YEARS,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,01 - UNDERGRADUATE CERTIFICATE,PASS,2.5,879,35061,PASS,5.04,879,17406,PASS,32617,35061,Health field
1013,CALHOUN COMMUNITY COLLEGE,TANNER,AL,United States,PUBLIC 2 TO 3 YEARS,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,01 - UNDERGRADUATE CERTIFICATE,PASS,0.78,243,31071,PASS,1.81,243,13416,PASS,26219,31071,Health field
1017,GADSDEN STATE COMMUNITY COLLEGE,GADSDEN,AL,United States,PUBLIC 2 TO 3 YEARS,"COSMETOLOGY/COSMETOLOGIST, GENERAL.",01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,12114,PASS,0,0,0,PASS,12114,11605,Others
1017,GADSDEN STATE COMMUNITY COLLEGE,GADSDEN,AL,United States,PUBLIC 2 TO 3 YEARS,WELDING TECHNOLOGY/WELDER.,01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,29702,PASS,0,0,12047,PASS,29104,29702,Sciences
1017,GADSDEN STATE COMMUNITY COLLEGE,GADSDEN,AL,United States,PUBLIC 2 TO 3 YEARS,SURGICAL TECHNOLOGY/TECHNOLOGIST.,01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,23598,PASS,0,0,5943,PASS,21605,23598,Health field
1017,GADSDEN STATE COMMUNITY COLLEGE,GADSDEN,AL,United States,PUBLIC 2 TO 3 YEARS,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,30352,PASS,0,0,12697,PASS,28794,30352,Health field
1018,GEORGE C. WALLACE COMMUNITY COLLEGE,DOTHAN,AL,United States,PUBLIC 2 TO 3 YEARS,"COSMETOLOGY/COSMETOLOGIST, GENERAL.",01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,9496,PASS,0,0,0,PASS,9496,8735,Others
1018,GEORGE C. WALLACE COMMUNITY COLLEGE,DOTHAN,AL,United States,PUBLIC 2 TO 3 YEARS,WELDING TECHNOLOGY/WELDER.,01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,37386,PASS,0,0,19731,PASS,35520,37386,Sciences
1018,GEORGE C. WALLACE COMMUNITY COLLEGE,DOTHAN,AL,United States,PUBLIC 2 TO 3 YEARS,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,30467,PASS,0,0,12812,PASS,30424,30467,Health field
1021,JEFFERSON DAVIS COMMUNITY COLLEGE,BREWTON,AL,United States,PUBLIC 2 TO 3 YEARS,WELDING TECHNOLOGY/WELDER.,01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,31817,PASS,0,0,14162,PASS,31817,31059,Sciences
1030,BISHOP STATE COMMUNITY COLLEGE,MOBILE,AL,United States,PUBLIC 2 TO 3 YEARS,TRUCK AND BUS DRIVER/COMMERCIAL VEHICLE OPERATOR AND INSTRUCTOR.,01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,26876,PASS,0,0,9221,PASS,26876,19416,Others
1030,BISHOP STATE COMMUNITY COLLEGE,MOBILE,AL,United States,PUBLIC 2 TO 3 YEARS,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,32844,PASS,0,0,15189,PASS,30618,32844,Health field
1034,ALABAMA SOUTHERN COMMUNITY COLLEGE,MONROEVILLE,AL,United States,PUBLIC 2 TO 3 YEARS,"COSMETOLOGY/COSMETOLOGIST, GENERAL.",01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,9731,PASS,0,0,0,PASS,9731,9701,Others
1034,ALABAMA SOUTHERN COMMUNITY COLLEGE,MONROEVILLE,AL,United States,PUBLIC 2 TO 3 YEARS,WELDING TECHNOLOGY/WELDER.,01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,29307,PASS,0,0,11652,PASS,29307,29256,Sciences
